user_id	review_id	votes.cool	business_id	votes.funny	stars	date	type	votes.useful
lTPInaXz8xAPyDBalAJtJQ	VmB10zVO6uG62g7UfJE_8w	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2008-04-17	review	1
DppAa95KXvumyhJKsL9ZWw	grXs67C0EI6TvyToxNgIEg	0	rT-iPtIXMKj3dTcl87lbOw	0	5	2008-08-26	review	1
8ED8BPCXKXZnGsVMyl5Bhw	2mCBp1e0Abw9jtbnHMbgDQ	2	rT-iPtIXMKj3dTcl87lbOw	1	4	2008-09-28	review	2
YPfriwRqj-CrsdbSR6XsWA	vDwn2MUh91lyEqU9iJJ0Wg	0	rT-iPtIXMKj3dTcl87lbOw	0	3	2008-12-19	review	0
YyrCbyjRFwB1vhQHPGSf0Q	1pdMZuK8fFQlf_SYrfIlpg	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2009-03-01	review	1
bcx22VoU6BcVtlZDuWleBA	y1tGHwvSFt-1cFpie_Mx0A	0	rT-iPtIXMKj3dTcl87lbOw	0	5	2009-03-19	review	1
ZZjQ2C-MgjEGNCk47LfNLQ	8UIZv3o09gGJg_u4tIOjGw	0	rT-iPtIXMKj3dTcl87lbOw	1	4	2009-06-01	review	0
veeA53Z1NP4GWPZMIxOQsg	DONwSc8FpxiUuB1w09UrGg	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2009-09-21	review	0
y-jHSmoG9eB3fCqmgLvHzg	LfXmh26uh7_Y6BclVIn29A	1	rT-iPtIXMKj3dTcl87lbOw	2	4	2009-12-09	review	2
qsDxchpAXaWpcMO2h9lLJA	uGCm5S-Wz8YwV1UKxOKNGg	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2010-03-03	review	2
SgGrOjLFpoegpnjHxafL4A	qTmmBJ54MVzHfvO--MOXxw	1	rT-iPtIXMKj3dTcl87lbOw	1	5	2010-07-06	review	1
LRd5CZ8tkdV2Pa4Zz2pSbw	Bkf8Pmg_7hcIKsw26CM-UQ	2	rT-iPtIXMKj3dTcl87lbOw	2	5	2010-08-01	review	4
qe5GeAF_E5a1bHiD-Ekm7w	AVVHZvGZyRsHzdeH7WSoMg	2	rT-iPtIXMKj3dTcl87lbOw	1	5	2010-10-02	review	2
apMvpMZJtUYXmT1xrwXg9Q	dMUAory2_T7Oc184yIYIsw	1	rT-iPtIXMKj3dTcl87lbOw	0	3	2010-10-11	review	2
jp5lBxgdCpDRhSeEuRK_kA	aTP8wC77jhJsky9w81rqwA	0	rT-iPtIXMKj3dTcl87lbOw	0	3	2010-11-04	review	2
8PMrq5f3DQIwZSWholvUig	vNvFHk4THxr9fennbps4wg	0	rT-iPtIXMKj3dTcl87lbOw	0	3	2011-01-27	review	1
YJ5_YCrzLX5Laav13qG0qw	JV2X5aP68CtxXMcDNtZSQQ	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2011-02-03	review	0
F8rOtCtfmhBeBQRK6gyD0w	cVwjVb1aymCD5BhD9ND0Bg	1	rT-iPtIXMKj3dTcl87lbOw	1	4	2011-03-14	review	1
nX4fxfciBukaBqsIRM6isQ	PTJxghyWpyrcuMRQdur_tg	0	rT-iPtIXMKj3dTcl87lbOw	0	5	2011-05-03	review	0
-eSKxqeeQqzXfb9QfDyPEQ	OurXMM5rkudSL3sux5PHYw	0	rT-iPtIXMKj3dTcl87lbOw	0	3	2011-05-04	review	0
cLqVPC_FWHderGAfCFCh3A	CQNfIJC2Vzqb-a35UVkreg	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2011-05-15	review	1
IVy6QMwiCMycCy-JZl03WA	dCI2VaPwsy1q7FQDpLuM9Q	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2011-06-29	review	1
vj9LJ9I2u2lxvScm9KfebA	dXekGE1s_q5xNZEXznQOlg	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2011-08-17	review	0
IaVteN39iChrCllDqENWmw	56kxfV49AflbG0LQ63rqZA	1	rT-iPtIXMKj3dTcl87lbOw	0	4	2011-08-18	review	0
US1xYmsm4L3kh_5Sck2Byw	2G9UB2SWvv8z7ER2H1Osyg	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2011-09-22	review	0
ts7EG6Zv2zdMDg29nyqGfA	otzcU_uNX2nGQHWP1S06Kg	1	rT-iPtIXMKj3dTcl87lbOw	1	4	2011-09-23	review	2
N5lS1Q1GV1Od5PXmP35M3Q	TKGVZlkSov8XV8emNxDu_Q	1	rT-iPtIXMKj3dTcl87lbOw	2	4	2011-09-30	review	2
XeK5BwKxklOBQ19TgpJ83A	ZgSeWtg1mUkpjXm6jOeF8w	0	rT-iPtIXMKj3dTcl87lbOw	0	2	2011-11-18	review	0
5NCO86rmJMFKVukzu3WbIw	R0ZuwA04nwAN2gt-1TDBcg	0	rT-iPtIXMKj3dTcl87lbOw	0	2	2011-11-18	review	0
naBs2Kg2KClrKcoRgFE2eA	zcvCCR-2u5Xysm1vobszKw	1	rT-iPtIXMKj3dTcl87lbOw	0	4	2012-01-21	review	2
kSV2NJ2jsj5qssaF6ANqew	DnmK8T_G5HplsnHYwS_7qA	2	rT-iPtIXMKj3dTcl87lbOw	0	5	2012-01-21	review	1
QHBM38JoYPHzm-PSXbf81Q	NseMQpz7cZjXZv_5ViifJA	0	rT-iPtIXMKj3dTcl87lbOw	0	3	2012-02-04	review	1
tbCk9eyRT5hOr3H02hm45Q	-JaLwHgmmOXMPSUCeQN_kA	3	rT-iPtIXMKj3dTcl87lbOw	1	5	2012-02-05	review	4
HLeY_JeAPhGq59fEna4RZA	eeBeEE0na5YvsjMefS2Q-w	0	rT-iPtIXMKj3dTcl87lbOw	0	5	2012-02-10	review	0
02OgbtkjXpE15CEgVpN8OA	3A6aBTxYzhkjxjg-I4MWRw	0	rT-iPtIXMKj3dTcl87lbOw	0	3	2012-04-19	review	1
41yN_fJ70MRGEYYvV0aUGw	tsZY-UlH9cMYn8FDlusbqg	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2012-06-11	review	0
pzgSsK2Ohl0C6DFdSZKwyg	ECc5QqKPZdKpjAKZTP4h6g	0	rT-iPtIXMKj3dTcl87lbOw	0	3	2012-06-26	review	1
ILv8_MJFGd1TH0vFg4N07w	hzx0OfQ8K9RZSHjlHVjDzg	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2012-07-10	review	0
Equip9COwQCXnVL215FncQ	zP85XsQPdUoerUpsI4LFiw	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2012-08-24	review	0
A5q79f10oj2vgoZlZmrCOA	8ybTUwTHzlbV4ldk2g7cXw	0	rT-iPtIXMKj3dTcl87lbOw	0	3	2012-09-04	review	0
6YGJZN-unDth3y_Kf7dwOg	azj6RsQBNEPHgwAmww3G3w	0	rT-iPtIXMKj3dTcl87lbOw	0	2	2012-09-17	review	0
IqFf1LnVmqsyYrRYz42TFA	iZzqjPH4XgjHF4JD83qIPw	0	rT-iPtIXMKj3dTcl87lbOw	0	4	2012-10-03	review	0
5WWzW11aJXUvF8zVKLR-jw	nwjyw6pIGkOM_BSj4cpKMQ	1	rT-iPtIXMKj3dTcl87lbOw	0	4	2012-11-10	review	0
